NumParticipants,DrawedNumber,isWinner
3,1,False
3,6,False
3,9,False
3,0,False
3,4,False
3,2,True
5,13,False
5,6,True
2,6,False
2,5,False
2,8,False
2,8,False
2,0,False
2,3,True
3,1,False
3,3,True
3,12,False
3,10,False
3,8,False
3,4,True
2,5,False
2,0,False
2,5,False
2,2,True
3,0,False
3,6,False
3,1,True
4,10,False
4,1,True
3,9,True
3,12,False
3,10,False
3,6,False
3,11,False
3,0,False
3,3,True
4,12,False
4,13,False
4,3,True
4,9,False
4,1,True
4,0,False
4,13,True
4,9,False
4,2,False
4,12,False
4,15,False
4,15,False
4,6,False
4,13,False
4,12,False
4,4,True
2,1,False
2,2,False
2,8,False
2,6,False
2,1,False
2,1,False
2,2,False
2,2,False
2,0,False
2,8,False
2,3,True
2,3,True
2,1,True
2,3,True
3,2,True
2,2,True
7,25,False
7,2,True
1,2,False
1,4,False
1,3,True
3,12,False
3,3,True
3,5,False
3,4,True
3,7,False
3,1,False
3,8,False
3,1,False
3,8,False
3,3,True
3,0,False
3,3,True
3,10,False
3,6,False
3,6,False
3,11,False
3,12,False
3,10,False
3,9,False
3,10,False
3,6,False
3,2,True
3,11,False
3,4,False
3,11,False
3,5,False
3,3,False
3,1,False
3,3,False
3,8,False
3,1,False
3,12,True
2,1,True
3,5,False
3,12,False
3,7,False
3,2,True
5,1,True
3,10,False
3,9,False
3,12,False
3,9,False
3,8,False
3,3,True
1,2,True
3,7,False
3,5,False
3,0,False
3,7,False
3,10,False
3,1,True
1,4,False
1,2,True
3,12,False
3,1,False
3,11,False
3,0,False
3,12,False
3,8,False
3,10,False
3,1,False
3,0,False
3,7,False
3,3,True
